event_start,belief_time,source,cumulative_probability,event_value
2015-03-03 17:00:00+00:00,2015-03-03 06:00:00+00:00,Random forest,0.5,8.635265625000006
2015-03-03 17:00:00+00:00,2015-03-03 06:00:00+00:00,Random forest,0.95,9.57828124975
2015-03-03 17:00:00+00:00,2015-03-03 07:00:00+00:00,Random forest,0.05,7.327763672000001
2015-03-03 17:00:00+00:00,2015-03-03 07:00:00+00:00,Random forest,0.5,8.638187500000006
2015-03-03 17:00:00+00:00,2015-03-03 07:00:00+00:00,Random forest,0.95,10.327052082500002
2015-03-03 17:00:00+00:00,2015-03-03 08:00:00+00:00,Random forest,0.05,7.39052604175
2015-03-03 17:00:00+00:00,2015-03-03 08:00:00+00:00,Random forest,0.5,8.68065625
2015-03-03 17:00:00+00:00,2015-03-03 08:00:00+00:00,Random forest,0.95,10.035109375
2015-03-03 17:00:00+00:00,2015-03-03 09:00:00+00:00,Random forest,0.05,7.135078125
2015-03-03 17:00:00+00:00,2015-03-03 09:00:00+00:00,Random forest,0.5,8.775125000000001
2015-03-03 17:00:00+00:00,2015-03-03 09:00:00+00:00,Random forest,0.95,11.5488216125
2015-03-03 17:00:00+00:00,2015-03-03 10:00:00+00:00,Random forest,0.05,7.343955078
2015-03-03 17:00:00+00:00,2015-03-03 10:00:00+00:00,Random forest,0.5,9.022687500000004
2015-03-03 17:00:00+00:00,2015-03-03 10:00:00+00:00,Random forest,0.95,12.00811198
2015-03-03 17:00:00+00:00,2015-03-03 11:00:00+00:00,Random forest,0.05,7.521933593750001
2015-03-03 17:00:00+00:00,2015-03-03 11:00:00+00:00,Random forest,0.5,8.849187500000005
2015-03-03 17:00:00+00:00,2015-03-03 11:00:00+00:00,Random forest,0.95,12.202574217499999
2015-03-03 17:00:00+00:00,2015-03-03 12:00:00+00:00,Random forest,0.05,7.7865234375000005
2015-03-03 17:00:00+00:00,2015-03-03 12:00:00+00:00,Random forest,0.5,9.315296875000003
2015-03-03 17:00:00+00:00,2015-03-03 12:00:00+00:00,Random forest,0.95,11.35113021
2015-03-03 17:00:00+00:00,2015-03-03 13:00:00+00:00,Random forest,0.05,8.00790364575
2015-03-03 17:00:00+00:00,2015-03-03 13:00:00+00:00,Random forest,0.5,9.521953125000001
2015-03-03 17:00:00+00:00,2015-03-03 13:00:00+00:00,Random forest,0.95,11.263686199999999
2015-03-03 17:00:00+00:00,2015-03-03 14:00:00+00:00,Random forest,0.05,8.172441406499999
2015-03-03 17:00:00+00:00,2015-03-03 14:00:00+00:00,Random forest,0.5,9.408828125000003
2015-03-03 17:00:00+00:00,2015-03-03 14:00:00+00:00,Random forest,0.95,11.11852306625
2015-03-03 17:00:00+00:00,2015-03-03 15:00:00+00:00,Random forest,0.05,8.418087053499999
2015-03-03 17:00:00+00:00,2015-03-03 15:00:00+00:00,Random forest,0.5,9.820890625
2015-03-03 17:00:00+00:00,2015-03-03 15:00:00+00:00,Random forest,0.95,11.486227215
2015-03-03 17:00:00+00:00,2015-03-03 16:00:00+00:00,Random forest,0.05,9.22857486975
2015-03-03 17:00:00+00:00,2015-03-03 16:00:00+00:00,Random forest,0.5,9.802906250000003
2015-03-03 17:00:00+00:00,2015-03-03 16:00:00+00:00,Random forest,0.95,10.718515628750001
2015-03-03 17:00:00+00:00,2015-03-03 17:00:00+00:00,Random forest,0.05,9.585942057499999
2015-03-03 17:00:00+00:00,2015-03-03 17:00:00+00:00,Random forest,0.5,9.71046875
2015-03-03 17:00:00+00:00,2015-03-03 17:00:00+00:00,Random forest,0.95,9.9311718745
2015-03-03 17:00:00+00:00,2015-03-03 18:00:00+00:00,Random forest,0.5,9.690625
2015-03-03 18:00:00+00:00,2015-02-28 18:00:00+00:00,Random forest,0.05,6.1015104165
2015-03-03 18:00:00+00:00,2015-02-28 18:00:00+00:00,Random forest,0.5,9.700609375000003
2015-03-03 18:00:00+00:00,2015-02-28 18:00:00+00:00,Random forest,0.95,13.13928125
2015-03-03 18:00:00+00:00,2015-02-28 19:00:00+00:00,Random forest,0.05,6.037451172
2015-03-03 18:00:00+00:00,2015-02-28 19:00:00+00:00,Random forest,0.5,8.995562500000005
2015-03-03 18:00:00+00:00,2015-02-28 19:00:00+00:00,Random forest,0.95,12.866328124999999
2015-03-03 18:00:00+00:00,2015-02-28 20:00:00+00:00,Random forest,0.05,6.200566406749999
2015-03-03 18:00:00+00:00,2015-02-28 20:00:00+00:00,Random forest,0.5,8.820218750000002
2015-03-03 18:00:00+00:00,2015-02-28 20:00:00+00:00,Random forest,0.95,14.77941667
2015-03-03 18:00:00+00:00,2015-02-28 21:00:00+00:00,Random forest,0.05,6.2028125
2015-03-03 18:00:00+00:00,2015-02-28 21:00:00+00:00,Random forest,0.5,8.526109375000003
2015-03-03 18:00:00+00:00,2015-02-28 21:00:00+00:00,Random forest,0.95,14.70455078
2015-03-03 18:00:00+00:00,2015-02-28 22:00:00+00:00,Random forest,0.05,6.0668489582500005
2015-03-03 18:00:00+00:00,2015-02-28 22:00:00+00:00,Random forest,0.5,8.370812500000001
2015-03-03 18:00:00+00:00,2015-02-28 22:00:00+00:00,Random forest,0.95,12.1077999425
2015-03-03 18:00:00+00:00,2015-02-28 23:00:00+00:00,Random forest,0.05,6.1844921875
2015-03-03 18:00:00+00:00,2015-02-28 23:00:00+00:00,Random forest,0.5,8.674640624999999
2015-03-03 18:00:00+00:00,2015-02-28 23:00:00+00:00,Random forest,0.95,13.28548437
2015-03-03 18:00:00+00:00,2015-03-01 00:00:00+00:00,Random forest,0.05,6.17928385425
2015-03-03 18:00:00+00:00,2015-03-01 00:00:00+00:00,Random forest,0.5,8.454359375000003
2015-03-03 18:00:00+00:00,2015-03-01 00:00:00+00:00,Random forest,0.95,11.458658855
2015-03-03 18:00:00+00:00,2015-03-01 01:00:00+00:00,Random forest,0.05,6.11071679675
2015-03-03 18:00:00+00:00,2015-03-01 01:00:00+00:00,Random forest,0.5,8.356093749999998
2015-03-03 18:00:00+00:00,2015-03-01 01:00:00+00:00,Random forest,0.95,12.9478962075
2015-03-03 18:00:00+00:00,2015-03-01 02:00:00+00:00,Random forest,0.05,5.949750000250001
2015-03-03 18:00:00+00:00,2015-03-01 02:00:00+00:00,Random forest,0.5,8.259906249999998
2015-03-03 18:00:00+00:00,2015-03-01 02:00:00+00:00,Random forest,0.95,12.543374997499999
2015-03-03 18:00:00+00:00,2015-03-01 03:00:00+00:00,Random forest,0.05,6.1059765625
2015-03-03 18:00:00+00:00,2015-03-01 03:00:00+00:00,Random forest,0.5,8.345828124999995
2015-03-03 18:00:00+00:00,2015-03-01 03:00:00+00:00,Random forest,0.95,12.95016406
2015-03-03 18:00:00+00:00,2015-03-01 04:00:00+00:00,Random forest,0.05,6.081282551999999
2015-03-03 18:00:00+00:00,2015-03-01 04:00:00+00:00,Random forest,0.5,8.093656249999999
2015-03-03 18:00:00+00:00,2015-03-01 04:00:00+00:00,Random forest,0.95,13.611800780000001
2015-03-03 18:00:00+00:00,2015-03-01 05:00:00+00:00,Random forest,0.05,6.2221484375
2015-03-03 18:00:00+00:00,2015-03-01 05:00:00+00:00,Random forest,0.5,8.283921874999997
2015-03-03 18:00:00+00:00,2015-03-01 05:00:00+00:00,Random forest,0.95,10.833603515
2015-03-03 18:00:00+00:00,2015-03-01 06:00:00+00:00,Random forest,0.05,6.811809896
2015-03-03 18:00:00+00:00,2015-03-01 06:00:00+00:00,Random forest,0.5,8.629187499999997
2015-03-03 18:00:00+00:00,2015-03-01 06:00:00+00:00,Random forest,0.95,12.90126562
2015-03-03 18:00:00+00:00,2015-03-01 07:00:00+00:00,Random forest,0.05,5.991738281
2015-03-03 18:00:00+00:00,2015-03-01 07:00:00+00:00,Random forest,0.5,8.826015624999997
2015-03-03 18:00:00+00:00,2015-03-01 07:00:00+00:00,Random forest,0.95,12.73951172
2015-03-03 18:00:00+00:00,2015-03-01 08:00:00+00:00,Random forest,0.05,7.093591796749999
2015-03-03 18:00:00+00:00,2015-03-01 08:00:00+00:00,Random forest,0.5,8.76206249999999
